user_id,first_name,last_name,age,city,reg_date,plan,churn_date,month,calls_duration,messages_count,mb_used,gb_used,Unnamed: 0,messages_included,mb_per_month_included,minutes_included,usd_monthly_pay,usd_per_gb,usd_per_message,usd_per_minute,plan_name,calls_overage,messages_overage,data_overage,calls_overage_charge,messages_overage_charge,data_overage_charge,monthly_profit
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,,2018-12-01,124.0,11.0,1901.47,2.0,1,1000,30720,3000,70,7,0.01,0.01,ultimate,0.0,0.0,0.0,0.0,0.0,0.0,70.0
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,2018-08-01,182.0,30.0,6919.15,7.0,0,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,2018-09-01,315.0,44.0,13314.82,14.0,0,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,2018-10-01,393.0,53.0,22330.49,22.0,0,50,15360,500,20,10,0.03,0.03,surf,0.0,3.0,7.0,0.0,0.09,70.0,90.09
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,2018-11-01,426.0,36.0,18504.3,19.0,0,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,4.0,0.0,0.0,40.0,60.0
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,2018-12-01,412.0,44.0,19369.18,19.0,0,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,4.0,0.0,0.0,40.0,60.0
1002,Carlee,Hoffman,36,"Las Vegas-Henderson-Paradise, NV MSA",2018-10-21,surf,,2018-10-01,59.0,15.0,6552.01,7.0,0,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1002,Carlee,Hoffman,36,"Las Vegas-Henderson-Paradise, NV MSA",2018-10-21,surf,,2018-11-01,386.0,32.0,19345.08,19.0,0,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,4.0,0.0,0.0,40.0,60.0
1002,Carlee,Hoffman,36,"Las Vegas-Henderson-Paradise, NV MSA",2018-10-21,surf,,2018-12-01,384.0,41.0,14396.24,15.0,0,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1003,Reynaldo,Jenkins,52,"Tulsa, OK MSA",2018-01-28,surf,,2018-12-01,1104.0,50.0,27044.14,27.0,0,50,15360,500,20,10,0.03,0.03,surf,604.0,0.0,12.0,18.12,0.0,120.0,158.12
